S. No.,Name of Company,No. Of Offers,CTC
1,10 TIMES,3,2.94
2,AMAZON,5,5.5
3,ARADHANA ENGG WORKS,1,3.12
4,ASHOK LEYLAND,2,5
5,AVARTAN TECHNOLOGIES PVT LTD,1,3
6,BOSCH,23,5
7,BYJUS,11,7
8,CADDESK INDIA,4,3
9,CADENCE,1,3.5
10,CAPEGEMINI,1,3.8
11,CAPGEMINI,15,3.8
12,CERTYBOX,4,3.6
13,CHEGG INDIA PVT LTD,36,3.5
14,CLOUDWALA,1,3.12
15,CODCHEF,1,4.2
16,COGNIZANCE,6,3.83
17,COGNIZANT,18,3.38
18,CONQSYS,2,3
19,CONTATA,2,4
20,CONTENT WRITING BLACK BOARD RADIO JHS,1,3.25
21,CUSMAT,1,6.13
22,CVENT,1,6.78
23,ECKOVATION,6,6
24,EMERSON,2,3.6
25,ETA ENGINEERING PVT LTD,5,3.5
26,EXTRAMARKS,6,4.2
27,FISERV,6,4
28,GARY GLOBAL SOLUTIONS,2,3.15
29,GINGER WEBS,1,3.4
30,GIS SOFTWARE,1,3
31,GLOBAL CLUTCH INDUSTRIES AHMEDABAD,1,4
32,GLOBAL LOGIC,6,4.81
33,GRADEUP,4,5.1
34,GREATER NOIDA SOLAR,1,3.25
35,HCL,4,3.5
36,HUDDLE SOLUTIONS,4,3.6
37,IGNITERS HUB,4,3.5
38,IMPETUS,1,3.6
39,IMPITUS INFOTECH,2,5
40,INDIA MART,3,3.2
41,INDIA MART,5,5
42,INDIAMART,1,3.5
43,INDIAN AIR FORCE,1,8
44,INDIAN POST OFFICE,1,4.25
45,INDUSLAND BANK,2,4
46,INFOEDGE,1,6.5
47,INFOGAIN,3,3.5
48,INN THINK TECHNOLOGIES,1,3.5
49,ISTERLING AND WILSON,1,2.95
50,ITBD,1,3
51,JARO EDUCATION,3,12
52,JARO TOPSCHOLARS,1,4.5
53,JE INDIAN RAILWAY,1,4.5
54,JELLYFISH TECHNOLOGIES PVT LTD,2,3
55,LIBSYS,2,4.5
56,LUTRON,1,4.5
57,LYBERATE INDIA PVT LTD,1,3.5
58,MAKINO AUTO PVT,3,3
59,MAVENIR SYSTEMS,1,6.37
60,MCKINSOL,4,3
61,MCM ENCORE,1,3.6
62,METAL CRAFT CONSTRUCTION PVT LTD,1,4
63,MITUTOYO,1,3
64,MOTHERSON,1,3.8
65,MTREE SOFTWARE PVT LTD,1,5.5
66,MULTITEX,3,3.5
67,NAGARRO,1,3.1
68,NEWGEN SOFTWARE TECHNOLOGIES LTD,12,4.5
69,NIC PROJECT,1,3.5
70,NTT DATA,3,3.2
71,PARALLEL DOTS,1,5
72,PAYTM PAYMENT BANK,1,3.3
73,PITNEY BOWES,1,8.12
74,RATE GAIN,4,4
75,RAZORPAY,1,12
76,ROULUNDS BRAKING INDIA PVT LTD,1,3
77,SAMISHTI INFOTECH,3,4.06
78,SHIPROCKET,1,5
79,SIMON,2,4
80,SKYHAWK AVIATION,1,4
81,SPECTRUM TALENT MANAGEMENT,2,3
82,SQUADRUN SOLUTIONS PRIVATE LIMITED,3,3.4
83,STATE STREET CORPORATE SERVICE PVT,1,3.5
84,TAK TECHNOLOGIES,7,3.5
85,TALENT CABIN PVT LTD,2,3.5
86,TATA CONSULTANCY SERVICES,92,3.36
87,TECHNOVIZ AUTOAMTION,1,3.16
88,TELEPERFORMACE,1,3.5
89,TIMES INTERNET LTD.,2,3.5
90,TIMEX,2,3
91,TORRENT GAS,1,3.25
92,TORRENT POWER,10,3.27
93,TRICOLITE GURUGRAM,1,3.25
94,TRICON,2,5
95,TRION SOLUTIONS,1,4.25
96,TSYS,1,4.33
97,UNIFIED CLOUD,13,3
98,VAIDIK EDUSERVICES PVT LTD,2,3.16
99,VEDA IIT,1,3.6
100,VEDANTA,2,4
101,VEDANTU,6,7
102,VIRTUSA,1,3.3
103,VISIT,1,7.2
104,WEBKUL,9,3.2
105,WIITYBRAIN,1,3.5
106,WIPRO,48,4.5
107,ZIA SEMICONDUCTOR,2,7
108,ZYCUS,1,3
