S. No.,Name of Company,No. Of Offers,CTC
1,AAMOR INOX,1,3
2,ACT 21,2,4
3,ADITYA BIRLA HEALTH,2,3.6
4,AMAZON,3,27.83
5,APISERO,4,5.1
6,APPINVENTIV,3,4.2
7,APPSIERRA,1,5.1
8,APPVENTUREZ MOBITECH,1,3
9,ATS INFRASTRUCTURE,2,4
10,AVISSOL CONTAQUE,4,5.5
11,BYJU'S,1,10
12,CAVISSION,5,4.5
13,CEDCOSS,4,3
14,CERTYBOX,7,7
15,CHEGG,11,9.6
16,CINIFGLOBAL,31,3.6
17,COFORGE LIMITED,1,3.65
18,COFORGE(FN),3,3.65
19,CONDUENT,5,3.75
20,CONTAQUE**,1,4
21,CONTAQUE/AVISSOL,4,5.5
22,CORPSEED,4,3
23,CRATERZONE,1,3.6
24,CYBROTECH DIGIVENTURE,1,3
25,DAFFODIL,13,5
26,DELL,1,7
27,EBIZON DIGITAL PVT LTD,1,2.5
28,EDUGRAD,2,6
29,EDUKYU,1,4.9
30,ENERGIZER,1,3.3
31,ETA-ENGG,14,3.23
32,EXTENTIA,1,2.5
33,FUSIONSTAK,3,4
34,GAINSIGHT SOFTWARE,1,13
35,GEBR. PFEIFFER (INDIA) PVT. LTD.,1,5
36,GEMINISOLUTION,1,6
37,GETFAREYE,1,4
38,GRADEUP,5,7
39,GRIFEO,27,4.8
40,HANU,9,4.2
41,HCL,33,3.5
42,HCL,1,4.75
43,HEXAWARE,8,3.5
44,HITACHI,1,4.5
45,HIVEMINDS,1,10
46,IMPETUS,7,4
47,INDIAMART,17,5.5
48,INDIAMART,1,3
49,INDUSTRYBUYING,3,4
50,INFO EDGE,1,7.25
51,INFOGAIN,6,3.75
52,ION GROUP,8,12
53,ISGEC,3,5.5
54,ITCONVERGENCE,1,3.5
55,JARO,5,6.6
56,JK TECHNOSOFT,4,3.5
57,KNOCIAL INDIA,65,4
58,KNOLDUS,1,6
59,LIBSYS,4,5
60,LIDO,1,3.6
61,MEDIOLOGY SOFTWARE,1,4
62,MINDTREE,2,6
63,MOBILOITTE,1,2.5
64,MONSTER,12,6
65,MUVRO TECHNOLOGIES,1,2.8
66,NAGARRO,21,3.5
67,NEOSOFT,2,3.6
68,NEUDESIC,5,3.6
69,NEWGEN,11,4.25
70,NS MATRIX SERVICES,1,2.5
71,OMNIE SOLUTIONS,1,3.6
72,PAYPAL & HP,2,5.5
73,PAYTM,11,9
74,PAYTM,5,3.31
75,PEOPLE STRONG,7,3.5
76,PHEUTURE,1,3
77,PLANETSPARK,1,7.6
78,QTECHGLOBAL,2,2.5
79,RAPIPAY,5,6
80,REGALO KITCHEN,1,2.5
81,REMOTESTATE,1,5
82,SCALEUP ALLEY PVT LTD,1,3
83,SHL,5,6.7
84,SHL,1,5
85,SOL,12,3.12
86,SOPRA STERIA,1,6
87,SOTI INDIA,1,6.5
88,SQUAREYARDS,1,2.5
89,TALENTSERVE,18,12
90,TCS,75,3.5
91,TECHNOLOGICS,3,3.34
92,TGPEL,1,3
93,TORRENT,2,3.75
94,TOTHENEW,1,4.5
95,TRICONINFOTECH,1,5
96,TSYS,2,7.5
97,UGAM,1,3
98,VERZEO,1,3
99,VISUDHAAJIVAM,2,8
100,WEALTHCLINIC,3,3
101,WILEY,6,11
102,WIPRO,36,3.5
103,WISTELI,5,2.5
104,WORLD FASHION,3,3.6
105,ZIA SEMICONDUCTORS,2,8
